code,name,industry,match
000070,特发信息,光纤光缆,local_extdata
000426,兴业银锡,铅锌,local_extdata
000592,平潭发展,林业,local_extdata
001203,大中矿业,铁矿石,local_extdata
002407,多氟多,氟化工,local_extdata
002545,东方铁塔,钾肥,local_extdata
002596,海南瑞泽,水泥制品,local_extdata
003018,金富科技,塑料包装,local_extdata
300086,康芝药业,化学制剂,local_extdata
300115,长盈精密,消费电子组件,local_extdata
300300,海峡创新,行业应用软件,local_extdata
300308,中际旭创,网络接配及塔设,local_extdata
300329,海伦钢琴,娱乐用品,local_extdata
300456,赛微电子,半导体制造,local_extdata
300478,杭州高新,改性塑料,local_extdata
300619,金银河,锂电设备,local_extdata
300620,光库科技,网络接配及塔设,local_extdata
300756,金马游乐,其他专用设备,local_extdata
300814,中富电路,PCB,local_extdata
300903,科翔股份,PCB,local_extdata
300955,嘉亨家化,化妆品,local_extdata
301093,华兰股份,医疗耗材,local_extdata
301227,森鹰窗业,家具,local_extdata
301228,实朴检测,检测服务,local_extdata
301292,海科新源,电池化学品,local_extdata
600105,永鼎股份,光纤光缆,local_extdata
600234,科新发展,装修装饰,local_extdata
600595,中孚实业,铝,local_extdata
600711,盛屯矿业,钴,local_extdata
603026,石大胜华,电池化学品,local_extdata
603040,新坐标,底盘与发动机系统,local_extdata
603122,合富中国,医药流通,local_extdata
603216,梦天家居,家具,local_extdata
603316,诚邦股份,园林工程,local_extdata
603778,国晟科技,光伏电池组件,local_extdata
603813,原尚股份,公路货运,local_extdata
603903,中持股份,水治理,local_extdata
603929,亚翔集成,其他专业工程,local_extdata
603993,洛阳钼业,钨钼,local_extdata
605100,华丰股份,机械基础件,local_extdata
605303,园林股份,园林工程,local_extdata
605389,长龄液压,工程机械零件,local_extdata
605580,恒盛能源,热力服务,local_extdata
605598,上海港湾,其他专业工程,local_extdata
688048,长光华芯,半导体制造,local_extdata
688109,品茗科技,行业应用软件,local_extdata
688191,智洋创新,电网自动化,local_extdata
688195,腾景科技,光学元件,local_extdata
688215,瑞晟智能,其他专用设备,local_extdata
688221,前沿生物,其他生物制药,local_extdata
688227,品高股份,云平台服务,local_extdata
688260,昀冢科技,消费电子组件,local_extdata
688433,华曙高科,其他专用设备,local_extdata
688498,源杰科技,集成电路设计,local_extdata
688585,上纬新材,合成树脂,local_extdata
688627,精智达,其他专用设备,local_extdata
688676,金盘科技,输变电设备,local_extdata
688698,伟创电气,工业控制设备,local_extdata
