code,name,industry,match
000034,神州数码,其他云服务,local_extdata
000880,潍柴重机,内燃机,local_extdata
002031,巨轮智能,其他专用设备,local_extdata
002261,拓维信息,云软件服务,local_extdata
002364,中恒电气,其他发电设备,local_extdata
002779,中坚科技,农用机械,local_extdata
002896,中大力德,机械基础件,local_extdata
003010,若羽臣,电商服务,local_extdata
003021,兆威机电,电机制造,local_extdata
300007,汉威科技,仪器仪表,local_extdata
300100,双林股份,车身附件及饰件,local_extdata
300115,长盈精密,消费电子组件,local_extdata
300153,科泰电源,其他发电设备,local_extdata
300170,汉得信息,云平台服务,local_extdata
300249,依米康,其他IT设备,local_extdata
300251,光线传媒,影视制作,local_extdata
300253,卫宁健康,行业应用软件,local_extdata
300276,三丰智能,其他专用设备,local_extdata
300287,飞利信,行业应用软件,local_extdata
300378,鼎捷数智,基础软件,local_extdata
300383,光环新网,云基础设施服务,local_extdata
300442,润泽科技,云基础设施服务,local_extdata
300465,高伟达,行业应用软件,local_extdata
300547,川环科技,底盘与发动机系统,local_extdata
300548,长芯博创,网络接配及塔设,local_extdata
300570,太辰光,网络接配及塔设,local_extdata
300638,广和通,通信终端及配件,local_extdata
300657,弘信电子,PCB,local_extdata
300660,江苏雷利,电机制造,local_extdata
300674,宇信科技,行业应用软件,local_extdata
300681,英搏尔,汽车电子电气系统,local_extdata
300718,长盛轴承,机械基础件,local_extdata
300766,每日互动,行业应用软件,local_extdata
300779,惠城环保,固废治理,local_extdata
300870,欧陆通,其他发电设备,local_extdata
300953,震裕科技,锂电池,local_extdata
300972,万辰集团,零食,local_extdata
300984,金沃股份,机械基础件,local_extdata
301000,肇民科技,其他汽车零部件,local_extdata
301018,申菱环境,制冷空调设备,local_extdata
301160,翔楼新材,金属制品,local_extdata
301165,锐捷网络,网络接配及塔设,local_extdata
301220,亚香股份,其他化学制品,local_extdata
301396,宏景科技,行业应用软件,local_extdata
301413,安培龙,仪器仪表,local_extdata
301550,斯菱智驱,轮胎轮毂,local_extdata
600126,杭钢股份,板材,local_extdata
600580,卧龙电驱,电机制造,local_extdata
603009,北特科技,底盘与发动机系统,local_extdata
603039,泛微网络,基础软件,local_extdata
603319,美湖股份,底盘与发动机系统,local_extdata
603360,百傲化学,农药,local_extdata
603662,柯力传感,仪器仪表,local_extdata
603667,五洲新春,机械基础件,local_extdata
603809,豪能股份,底盘与发动机系统,local_extdata
603881,数据港,云基础设施服务,local_extdata
603893,瑞芯微,集成电路设计,local_extdata
605398,新炬网络,其他云服务,local_extdata
605488,福莱新材,其他塑料制品,local_extdata
688158,优刻得,云基础设施服务,local_extdata
688205,德科立,网络接配及塔设,local_extdata
688227,品高股份,云平台服务,local_extdata
688255,凯尔达,机器人,local_extdata
688279,峰岹科技,集成电路设计,local_extdata
688316,青云科技,云基础设施服务,local_extdata
688608,恒玄科技,集成电路设计,local_extdata
688685,迈信林,航空装备,local_extdata
920245,威博液压,工程机械零件,local_extdata
920367,新赣江,原料药,local_extdata
920493,并行科技,云软件服务,local_extdata
920533,骏创科技,车身附件及饰件,local_extdata
920556,雅达股份,电工仪器,local_extdata
920790,联迪信息,行业应用软件,local_extdata
920924,广脉科技,网络工程施工,local_extdata
