code,name,industry,match
000880,潍柴重机,内燃机,local_extdata
001328,登康口腔,洗护用品,local_extdata
002052,同洲电子,其他黑色家电,local_extdata
002141,贤丰控股,PCB,local_extdata
002165,红 宝 丽,聚氨酯,local_extdata
002289,宇顺电子,面板,local_extdata
002553,南方精工,底盘与发动机系统,local_extdata
002582,好想你,零食,local_extdata
002734,利民股份,农药,local_extdata
003010,若羽臣,电商服务,local_extdata
003041,真爱美家,家纺,local_extdata
300100,双林股份,车身附件及饰件,local_extdata
300353,东土科技,其他通信设备,local_extdata
300476,胜宏科技,PCB,local_extdata
300652,雷迪克,轮胎轮毂,local_extdata
300844,山水比德,工程咨询服务,local_extdata
300879,大叶股份,农用机械,local_extdata
300963,中洲特材,其他金属新材料,local_extdata
300972,万辰集团,零食,local_extdata
300986,志特新材,其他专业工程,local_extdata
301000,肇民科技,其他汽车零部件,local_extdata
301119,正强股份,底盘与发动机系统,local_extdata
301196,唯科科技,其他专用设备,local_extdata
301209,联合化学,涂料油墨,local_extdata
301225,恒勃股份,其他汽车零部件,local_extdata
600592,龙溪股份,机械基础件,local_extdata
600610,中毅达,有机化工原料,local_extdata
603086,先达股份,农药,local_extdata
603121,华培动力,底盘与发动机系统,local_extdata
603166,福达股份,底盘与发动机系统,local_extdata
603955,大千生态,园林工程,local_extdata
688096,京源环保,水治理,local_extdata
688136,科兴制药,基因药物,local_extdata
688313,仕佳光子,网络接配及塔设,local_extdata
688428,诺诚健华,其他生物制药,local_extdata
920132,泰鹏智能,其他家居,local_extdata
920145,恒合股份,环保设备,local_extdata
920169,七丰精工,机械基础件,local_extdata
920262,太湖雪,家纺,local_extdata
920839,万通液压,工程机械零件,local_extdata
920876,慧为智能,消费电子组件,local_extdata
920982,锦波生物,医美耗材,local_extdata
