code,name,industry,match
002052,同洲电子,其他黑色家电,local_extdata
002165,红 宝 丽,聚氨酯,local_extdata
002582,好想你,零食,local_extdata
003010,若羽臣,电商服务,local_extdata
300100,双林股份,车身附件及饰件,local_extdata
300476,胜宏科技,PCB,local_extdata
300652,雷迪克,轮胎轮毂,local_extdata
300779,惠城环保,固废治理,local_extdata
300972,万辰集团,零食,local_extdata
301077,星华新材,其他化学制品,local_extdata
301209,联合化学,涂料油墨,local_extdata
301220,亚香股份,其他化学制品,local_extdata
601086,国芳集团,百货,local_extdata
603067,振华股份,无机盐,local_extdata
603121,华培动力,底盘与发动机系统,local_extdata
603166,福达股份,底盘与发动机系统,local_extdata
603697,有友食品,零食,local_extdata
603766,隆鑫通用,摩托车,local_extdata
688052,纳芯微,集成电路设计,local_extdata
688068,热景生物,诊断试剂,local_extdata
688096,京源环保,水治理,local_extdata
688136,科兴制药,基因药物,local_extdata
688288,鸿泉技术,其他IT设备,local_extdata
688382,益方生物,其他生物制药,local_extdata
688428,诺诚健华,其他生物制药,local_extdata
688521,芯原股份,集成电路设计,local_extdata
920132,泰鹏智能,其他家居,local_extdata
920145,恒合股份,环保设备,local_extdata
920261,一诺威,聚氨酯,local_extdata
920275,驱动力,动物保健,local_extdata
920299,灿能电力,电网自动化,local_extdata
920394,民士达,特种纸,local_extdata
920396,常辅股份,工业控制设备,local_extdata
920429,康比特,其他食品,local_extdata
920599,同力股份,工程机械整机,local_extdata
920651,天罡股份,仪器仪表,local_extdata
920735,德源药业,化学制剂,local_extdata
920839,万通液压,工程机械零件,local_extdata
920879,基康技术,仪器仪表,local_extdata
920892,广咨国际,工程咨询服务,local_extdata
920982,锦波生物,医美耗材,local_extdata
