code,name,industry,match
000062,深圳华强,其他电子,local_extdata
000429,粤高速Ａ,高速公路,local_extdata
000908,石药景峰,化学制剂,local_extdata
001298,好上好,其他电子,local_extdata
002595,豪迈科技,其他专用设备,local_extdata
002700,万憬能源,燃气,local_extdata
002755,奥赛康,化学制剂,local_extdata
002827,高争民爆,民爆制品,local_extdata
300209,行云科技,跨境电商,local_extdata
301036,双乐股份,涂料油墨,local_extdata
301259,艾布鲁,水治理,local_extdata
600012,皖通高速,高速公路,local_extdata
600216,浙江医药,原料药,local_extdata
600377,宁沪高速,高速公路,local_extdata
600418,江淮汽车,商用载货车,local_extdata
600550,保变电气,输变电设备,local_extdata
600611,大众交通,公共交通,local_extdata
603360,百傲化学,农药,local_extdata
603626,科森科技,消费电子组件,local_extdata
603699,纽威股份,机械基础件,local_extdata
688090,瑞松科技,机器人,local_extdata
688266,泽璟制药,其他生物制药,local_extdata
688617,惠泰医疗,医疗耗材,local_extdata
689009,九号公司,其他交通设备,local_extdata
