code,name,industry,match
000678,襄阳轴承,底盘与发动机系统,local_extdata
001212,中旗新材,其他建材,local_extdata
002052,同洲电子,其他黑色家电,local_extdata
002141,贤丰控股,PCB,local_extdata
002165,红 宝 丽,聚氨酯,local_extdata
002891,中宠股份,宠物食品,local_extdata
003010,若羽臣,电商服务,local_extdata
300163,先锋新材,其他家居,local_extdata
300353,东土科技,其他通信设备,local_extdata
300476,胜宏科技,PCB,local_extdata
300652,雷迪克,轮胎轮毂,local_extdata
300844,山水比德,工程咨询服务,local_extdata
300879,大叶股份,农用机械,local_extdata
300927,江天化学,有机化工原料,local_extdata
300963,中洲特材,其他金属新材料,local_extdata
300972,万辰集团,零食,local_extdata
301119,正强股份,底盘与发动机系统,local_extdata
301209,联合化学,涂料油墨,local_extdata
301316,慧博云通,行业应用软件,local_extdata
600610,中毅达,有机化工原料,local_extdata
600644,乐山电力,水力发电,local_extdata
600793,宜宾纸业,特种纸,local_extdata
601086,国芳集团,百货,local_extdata
603121,华培动力,底盘与发动机系统,local_extdata
603166,福达股份,底盘与发动机系统,local_extdata
603389,亚振家居,家具,local_extdata
688068,热景生物,诊断试剂,local_extdata
688096,京源环保,水治理,local_extdata
688313,仕佳光子,网络接配及塔设,local_extdata
688428,诺诚健华,其他生物制药,local_extdata
688655,迅捷兴,PCB,local_extdata
920145,恒合股份,环保设备,local_extdata
920174,五新智能,工程机械整机,local_extdata
920261,一诺威,聚氨酯,local_extdata
920273,一致魔芋,其他食品,local_extdata
920275,驱动力,动物保健,local_extdata
920299,灿能电力,电网自动化,local_extdata
920392,佳合科技,纸包装,local_extdata
920396,常辅股份,工业控制设备,local_extdata
920419,路斯股份,宠物食品,local_extdata
920429,康比特,其他食品,local_extdata
920505,九菱科技,机械基础件,local_extdata
920599,同力股份,工程机械整机,local_extdata
920834,三维装备,其他塑料制品,local_extdata
920839,万通液压,工程机械零件,local_extdata
920879,基康技术,仪器仪表,local_extdata
920895,花溪科技,农用机械,local_extdata
920982,锦波生物,医美耗材,local_extdata
