code,name,industry,match
001267,汇绿生态,网络接配及塔设,local_extdata
002062,宏润建设,基建工程,local_extdata
002173,创新医疗,医院,local_extdata
002289,宇顺电子,面板,local_extdata
002490,山东墨龙,能源及重型设备,local_extdata
002549,凯美特气,大气治理,local_extdata
002558,巨人网络,游戏,local_extdata
002713,东易日盛,装修装饰,local_extdata
300111,向日葵,化学制剂,local_extdata
300368,汇金股份,其他IT设备,local_extdata
300475,香农芯创,其他电子,local_extdata
300478,杭州高新,改性塑料,local_extdata
300502,新易盛,网络接配及塔设,local_extdata
300539,横河精密,其他塑料制品,local_extdata
300588,熙菱信息,安防设备,local_extdata
300756,金马游乐,其他专用设备,local_extdata
300857,协创数据,消费电子组件,local_extdata
300959,线上线下,电信增值服务,local_extdata
301075,多瑞医药,化学制剂,local_extdata
301326,捷邦科技,消费电子组件,local_extdata
301345,涛涛车业,其他交通设备,local_extdata
301377,鼎泰高科,金属制品,local_extdata
301448,开创电气,其他通用设备,local_extdata
600021,上海电力,火力发电,local_extdata
600105,永鼎股份,光纤光缆,local_extdata
600172,黄河旋风,磨具磨料,local_extdata
600183,生益科技,PCB,local_extdata
600234,科新发展,装修装饰,local_extdata
600403,大有能源,动力煤,local_extdata
600580,卧龙电驱,电机制造,local_extdata
600601,方正科技,PCB,local_extdata
600629,华建集团,工程咨询服务,local_extdata
600651,飞乐音响,LED,local_extdata
603011,合锻智能,其他专用设备,local_extdata
603090,宏盛股份,其他通用设备,local_extdata
603226,菲林格尔,家具,local_extdata
603301,振德医疗,医疗耗材,local_extdata
603308,应流股份,机械基础件,local_extdata
603389,亚振家居,家具,local_extdata
603686,福龙马,环保设备,local_extdata
605133,嵘泰股份,底盘与发动机系统,local_extdata
605196,华通线缆,线缆部件及其他,local_extdata
605289,罗曼股份,其他专业工程,local_extdata
605318,法狮龙,其他建材,local_extdata
605389,长龄液压,工程机械零件,local_extdata
605580,恒盛能源,热力服务,local_extdata
688013,天臣医疗,医疗耗材,local_extdata
688109,品茗科技,行业应用软件,local_extdata
688123,聚辰股份,集成电路设计,local_extdata
688215,瑞晟智能,其他专用设备,local_extdata
688237,超卓航科,航空装备,local_extdata
688256,寒武纪,集成电路设计,local_extdata
688331,荣昌生物,抗体,local_extdata
688377,迪威尔,能源及重型设备,local_extdata
688388,嘉元科技,锂电池,local_extdata
688392,骄成超声,其他专用设备,local_extdata
688498,源杰科技,集成电路设计,local_extdata
688577,浙海德曼,机床制造,local_extdata
688660,电气风电,风电整机,local_extdata
688679,通源环境,固废治理,local_extdata
688691,灿芯股份,半导体制造,local_extdata
920225,利通科技,橡胶制品,local_extdata
