code,name,industry,match
000070,特发信息,光纤光缆,local_extdata
000408,藏格矿业,钾肥,local_extdata
000426,兴业银锡,铅锌,local_extdata
000547,航天发展,军工电子,local_extdata
000592,平潭发展,林业,local_extdata
000603,盛达资源,白银,local_extdata
000657,中钨高新,钨钼,local_extdata
000905,厦门港务,港口,local_extdata
002379,宏桥控股,铝,local_extdata
002487,大金重工,风电零部件,local_extdata
002545,东方铁塔,钾肥,local_extdata
002565,顺灏股份,纸包装,local_extdata
002975,博杰股份,工业控制设备,local_extdata
300086,康芝药业,化学制剂,local_extdata
300300,海峡创新,行业应用软件,local_extdata
300308,中际旭创,网络接配及塔设,local_extdata
300329,海伦钢琴,娱乐用品,local_extdata
300394,天孚通信,网络接配及塔设,local_extdata
300421,力星股份,机械基础件,local_extdata
300456,赛微电子,半导体制造,local_extdata
300478,杭州高新,改性塑料,local_extdata
300620,光库科技,网络接配及塔设,local_extdata
300756,金马游乐,其他专用设备,local_extdata
300959,线上线下,电信增值服务,local_extdata
301005,超捷股份,其他汽车零部件,local_extdata
301093,华兰股份,医疗耗材,local_extdata
301148,嘉戎技术,水治理,local_extdata
301183,东田微,光学元件,local_extdata
301228,实朴检测,检测服务,local_extdata
301232,飞沃科技,风电零部件,local_extdata
301377,鼎泰高科,金属制品,local_extdata
301550,斯菱智驱,轮胎轮毂,local_extdata
600105,永鼎股份,光纤光缆,local_extdata
600343,航天动力,其他通用设备,local_extdata
600595,中孚实业,铝,local_extdata
600693,东百集团,百货,local_extdata
600711,盛屯矿业,钴,local_extdata
603122,合富中国,医药流通,local_extdata
603163,圣晖集成,其他专业工程,local_extdata
603216,梦天家居,家具,local_extdata
603286,日盈电子,车身附件及饰件,local_extdata
603308,应流股份,机械基础件,local_extdata
603316,诚邦股份,园林工程,local_extdata
603696,安记食品,调味品,local_extdata
603778,国晟科技,光伏电池组件,local_extdata
603813,原尚股份,公路货运,local_extdata
603929,亚翔集成,其他专业工程,local_extdata
603993,洛阳钼业,钨钼,local_extdata
605060,联德股份,机械基础件,local_extdata
605100,华丰股份,机械基础件,local_extdata
605188,国光连锁,超市及便利店,local_extdata
605196,华通线缆,线缆部件及其他,local_extdata
605255,天普股份,底盘与发动机系统,local_extdata
605598,上海港湾,其他专业工程,local_extdata
688048,长光华芯,半导体制造,local_extdata
688102,斯瑞新材,铜,local_extdata
688109,品茗科技,行业应用软件,local_extdata
688147,微导纳米,光伏加工设备,local_extdata
688195,腾景科技,光学元件,local_extdata
688205,德科立,网络接配及塔设,local_extdata
688257,新锐股份,金属制品,local_extdata
688313,仕佳光子,网络接配及塔设,local_extdata
688498,源杰科技,集成电路设计,local_extdata
688676,金盘科技,输变电设备,local_extdata
688679,通源环境,固废治理,local_extdata
